"MISSION","SETNO","STATION","DATETIME_START","DATETIME_FINISH","LATITUDE_START","LONGITUDE_START","LATITUDE_FINISH","LONGITUDE_FINISH","DEPTH_START","DEPTH_FINISH","SPEED","DEPTH_TRWL_AVE","TEMP_TRWL_AVE"
"BOF2009001",7,"B",14-AUG-09,14-AUG-09,45.0867,-66.9446,45.0678,-66.9344,55,67.8,1.9,,
"BOF2011001",1,"B",21-JUL-11,21-JUL-11,45.0837,-66.9504,45.0994,-66.9716,56,32,2.4,41.89,10.95
"BOF2011001",2,"C",21-JUL-11,21-JUL-11,45.0183,-67.0397,45.0507,-67.0265,35.5,19.6,2.4,26.7,11.18
"BOF2011001",3,"A",22-JUL-11,22-JUL-11,45.0655,-67.0848,45.0499,-67.07,24.1,26,2.4,25.51,11.19
"BOF2011001",4,"A",22-JUL-11,22-JUL-11,45.1216,-67.119,45.1058,-67.107,25.4,26.8,2.4,26.25,11.64
"BOF2011001",5,"B",18-AUG-11,18-AUG-11,45.0695,-66.9578,45.0909,-66.9584,47.4,39,2.6,46.9,12.43
"BOF2011001",6,"D",18-AUG-11,18-AUG-11,44.9985,-66.775,44.9874,-66.7483,54.7,64.4,2.4,58.07,10
"BOF2011001",7,"B",18-AUG-11,18-AUG-11,45.1154,-66.9256,45.1145,-66.944,10.4,16.1,2.4,12.49,12.76
"BOF2011001",8,"C",19-AUG-11,19-AUG-11,45.0334,-67.0473,45.0393,-67.0293,22.7,18.5,2.4,21.09,12.57
"BOF2011001",9,"B",15-SEP-11,15-SEP-11,45.0719,-66.9473,45.0896,-66.9385,50.8,36.9,2.4,58.76,12.83
"BOF2015001",1,"C",14-JUL-15,14-JUL-15,45.0356,-66.9926,45.0454,-66.9804,30,31,2.6,27.77,9.91
"BOF2015001",2,"D",14-JUL-15,14-JUL-15,44.9216,-66.8841,44.906,-66.8823,98,75,2.6,92.81,8.29
"BOF2015001",3,"A",30-JUL-15,30-JUL-15,45.0714,-67.091,45.0634,-67.0833,26,31,2.2,,
"BOF2015001",4,"B",30-JUL-15,30-JUL-15,45.0732,-66.9779,45.0875,-66.9623,46,45,2.7,,
"BOF2015001",5,"D",30-JUL-15,30-JUL-15,45.0009,-66.7763,45.0001,-66.7577,56,56,2.3,,
"BOF2015001",6,"A",17-AUG-15,17-AUG-15,45.0969,-67.1022,45.0888,-67.0995,21.9456,24.871679999999998,2.4,23.66,12.7
"BOF2015001",7,"D",17-AUG-15,17-AUG-15,44.9254,-66.8862,44.9248,-66.8718,85.9536,89.24543999999999,2.4,93.29,9.88
"BOF2015001",8,"D",17-AUG-15,17-AUG-15,44.9902,-66.7743,44.9793,-66.7638,62.72783999999999,73.51776000000001,2.3,67.06,9.54
